symbol,date,close,volume,quote_volume,num_trades,taker_buy_base,taker_buy_ratio,flow_imbalance
BTC/USDT,2024-03-07,66823.17,53059.8869,3548088039.273608,2428227,27935.66302,0.5264930751294157,0.052986150258831355
BTC/USDT,2024-03-08,68124.19,74261.932842,5044395324.399055,2943927,37711.514581,0.5078175740622747,0.01563514812454936
BTC/USDT,2024-03-09,68313.27,19872.89743,1355964036.9092987,1345341,10005.592,0.5034792754928439,0.006958550985687761
BTC/USDT,2024-03-10,68955.88,38404.66835,2659307501.094578,2139518,19188.79904,0.4996475653720885,-0.0007048692558230263
BTC/USDT,2024-03-11,72078.1,75292.825726,5352704377.618805,3043414,39435.855459,0.5237664422705027,0.04753288454100546
BTC/USDT,2024-03-12,71452.01,68783.546691,4909667978.559338,3047890,34517.212933,0.5018236859472153,0.00364737189443054
BTC/USDT,2024-03-13,73072.41,52659.711647,3829764501.253793,2501197,26787.082237,0.5086826607894281,0.017365321578856285
BTC/USDT,2024-03-14,71388.94,71757.628746,5132189849.096632,2994869,35676.748326,0.49718404787712184,-0.005631904245756325
BTC/USDT,2024-03-15,69499.85,103334.03546,7065279917.872112,3904445,49844.66515,0.4823644497005498,-0.03527110059890037
BTC/USDT,2024-03-16,65300.63,55926.95336,3788544202.884856,2729019,27240.19894,0.48706745680666197,-0.02586508638667606
BTC/USDT,2024-03-17,68393.48,49742.21589,3322963634.2425127,2449156,25328.29435,0.5091911145657649,0.01838222913152987
BTC/USDT,2024-03-18,67609.99,55691.08088,3768277912.4189186,2464515,28529.67219,0.5122844042383399,0.02456880847667975
BTC/USDT,2024-03-19,61937.4,101005.32487,6484805948.535393,3593832,48205.28434,0.47725488138415606,-0.04549023723168788
BTC/USDT,2024-03-20,67840.51,90420.58592,5769770052.062583,3549793,45523.84281,0.5034676821302332,0.00693536426046637
BTC/USDT,2024-03-21,65501.27,53357.48002,3551223142.964417,2388390,26650.09786,0.49946320272266864,-0.0010735945546627157
BTC/USDT,2024-03-22,63796.64,51482.37821,3310481978.107645,2492881,24578.87957,0.47742315768205457,-0.04515368463589087
BTC/USDT,2024-03-23,63990.01,26410.11409,1706152172.6316135,1753566,12749.00823,0.48273203919354973,-0.03453592161290053
BTC/USDT,2024-03-24,67209.99,31395.78015,2059312948.6486876,1880774,16689.65617,0.5315891527543392,0.06317830550867831
BTC/USDT,2024-03-25,69880.01,53431.14486,3679964073.811213,2632220,27815.58769,0.5205875292936779,0.04117505858735582
BTC/USDT,2024-03-26,69988.0,38934.38417,2738537345.33588,2176807,19498.85666,0.500813280489085,0.001626560978170044
BTC/USDT,2024-03-27,69469.99,49119.35685,3426458581.9433436,2453366,24902.3347,0.5069759927037807,0.013951985407561374
BTC/USDT,2024-03-28,70780.6,35439.03239,2500571208.002628,1799897,18007.26883,0.5081196526991295,0.01623930539825902
BTC/USDT,2024-03-29,69850.54,25445.08353,1779608477.3224535,1522607,11839.0929,0.46528017430328317,-0.06943965139343367
BTC/USDT,2024-03-30,69582.18,13644.61142,954555919.6855744,1110488,6423.89367,0.47080077785022045,-0.058398444299559094
BTC/USDT,2024-03-31,71280.01,19396.34433,1367523707.2612453,1181926,10142.47988,0.5229067760110238,0.04581355202204751
