t,open,high,low,close,volume,macd,sig,hist,cu,cd,ema12,ema26
2026-05-28,9.042,9.074,8.715,8.928,2253594.76,-0.1035985826675212,-0.04670883228962388,-0.05688975037789732,False,False,9.227338151401442,9.330936734068963
2026-05-29,8.928,9.003,8.656,8.827,1503250.18,-0.12786042053044078,-0.06293914993778726,-0.06492127059265351,False,False,9.165747666570452,9.293608087100893
2026-05-30,8.827,9.049,8.812,8.946,931649.88,-0.13591900665631407,-0.07753512128149263,-0.058383885374821434,False,False,9.13194033325192,9.267859339908235
2026-05-31,8.947,9.084,8.8,8.983,1060096.52,-0.1377322122346314,-0.08957453947212039,-0.048157672762511,False,False,9.109026435828548,9.24675864806318
2026-06-01,8.983,9.074,8.677,8.936,1893045.04,-0.14133250478477244,-0.09992613253465081,-0.04140637225012163,False,False,9.082406984162617,9.22373948894739
2026-06-02,8.936,8.944,8.029,8.18,2714711.46,-0.20285031228377193,-0.12051096848447504,-0.08233934379929689,False,False,8.943575140445292,9.146425452729064
2026-06-03,8.181,8.372,7.909,8.049,3545648.75,-0.25918648269143674,-0.1482460713258674,-0.11094041136556934,False,False,8.8059481957614,9.065134678452837
2026-06-04,8.048,8.117,7.519,7.707,4838681.72,-0.32765286711121355,-0.18412743048293664,-0.1435254366282769,False,False,8.636879242567339,8.964532109678553
2026-06-05,7.706,7.724,6.584,6.729,6573341.98,-0.4555777794958118,-0.2384175002855117,-0.2171602792103001,False,False,8.343359359095441,8.798937138591253
2026-06-06,6.73,6.933,6.224,6.664,3086870.73,-0.5557972660706874,-0.30189345344254687,-0.2539038126281405,False,False,8.084996380773065,8.640793646843752
2026-06-07,6.665,6.964,6.508,6.819,2996990.59,-0.6156182624917923,-0.364638415252396,-0.2509798472393963,False,False,7.890227706807978,8.50584596929977
2026-06-08,6.818,6.882,6.538,6.766,2727140.09,-0.6596988920240898,-0.42365051060673475,-0.23604838141735507,False,False,7.717269598068289,8.376968490092379
2026-06-09,6.767,6.793,6.445,6.639,2328663.06,-0.6968481158226245,-0.47829003164991274,-0.21855808417271178,False,False,7.551381967596245,8.24823008341887
2026-06-10,6.639,6.68,6.301,6.383,2908246.4,-0.7384339963961466,-0.5303188245991596,-0.20811517179698702,False,False,7.371630895658361,8.110064892054508
2026-06-11,6.382,6.707,6.381,6.648,2399397.53,-0.7414607233822839,-0.5725472043557844,-0.16891351902649943,False,False,7.260303065557075,8.001763788939359
2026-06-12,6.648,6.7,6.52,6.571,1403717.92,-0.7415248459682058,-0.6063427326782688,-0.135182113289937,False,False,7.154256440086756,7.895781286054961
2026-06-13,6.57,6.776,6.557,6.719,949363.65,-0.7213183910601026,-0.6293378643546356,-0.09198052670546708,False,False,7.087293910842639,7.808612301902742
2026-06-14,6.718,6.791,6.376,6.79,1842131.62,-0.6916031527012176,-0.641790922023952,-0.04981223067726559,False,False,7.041556386097618,7.733159538798835
2026-06-15,6.789,7.079,6.7,6.84,2814252.23,-0.6564518616485158,-0.6447231099488648,-0.01172875169965093,False,False,7.010547711313369,7.666999572961885
2026-06-16,6.839,7.05,6.714,6.88,2036420.39,-0.6182398602636523,-0.6394264600118224,0.021186599748170054,True,False,6.990463448034389,7.6087033082980415
2026-06-17,6.881,7.022,6.653,6.766,2845394.46,-0.5903502311414526,-0.6296112142377485,0.03926098309629589,False,False,6.955930609875253,7.5462808410167055
2026-06-18,6.766,6.804,6.214,6.318,3654456.88,-0.5975096358902547,-0.6231908985682497,0.025681262677994976,False,False,6.857787439125214,7.455297075015468
2026-06-19,6.317,6.324,5.681,5.896,7913756.29,-0.6299734471790277,-0.6245474082904053,-0.005426038888622364,False,True,6.709820140798258,7.339793587977286
