symbol,date,level,entry,outcome,ret,crossover,volume
EUR/USDT,2025-05-26,1.1375,1.1385,timeout,0.01361440491875261,True,False
EUR/USDT,2025-06-02,1.1407,1.1447,timeout,0.004367956669869741,True,True
TRX/USDT,2025-06-05,0.2797,0.282,loss,-0.05774822695035459,True,True
UNI/USDT,2025-06-10,7.701,8.665,loss,-0.15568955568378537,True,True
ETH/USDT,2025-06-10,2788.0,2816.4,loss,-0.05957960516972027,True,True
EUR/USDT,2025-06-11,1.1486,1.1506,timeout,0.02546497479575863,True,False
EUR/USDT,2025-06-25,1.1627,1.1677,timeout,-0.005480859809882642,True,True
ZEC/USDT,2025-07-08,43.3,43.7,loss,-0.05869565217391315,False,True
UNI/USDT,2025-07-09,7.863,8.301,win,0.10000000000000019,True,True
XRP/USDT,2025-07-09,2.3271,2.4038,win,0.10000000000000002,True,True
BTC/USDT,2025-07-09,110529.18,111233.99,win,0.10000000000000003,True,True
XLM/USDT,2025-07-09,0.2851,0.2883,win,0.10000000000000007,False,True
ETH/USDT,2025-07-09,2635.5,2768.74,win,0.1000000000000001,True,True
WLD/USDT,2025-07-10,0.984,1.068,win,0.1,False,True
BNB/USDT,2025-07-10,674.8,685.8,win,0.10000000000000006,True,True
SOL/USDT,2025-07-10,159.99,164.34,win,0.10000000000000016,False,True
NEAR/USDT,2025-07-10,2.363,2.515,win,0.10000000000000002,False,True
ENA/USDT,2025-07-10,0.2875,0.3175,win,0.10000000000000017,False,True
TRX/USDT,2025-07-11,0.2953,0.3009,win,0.10000000000000002,True,True
ENA/USDT,2025-07-18,0.39,0.3901,win,0.10000000000000012,True,True
TAO/USDT,2025-07-21,443.3,446.4,loss,-0.056597222222222195,True,True
ETH/USDT,2025-07-27,3860.0,3872.1,loss,-0.052968673329717705,True,False
TRX/USDT,2025-07-29,0.3344,0.3385,timeout,0.03485967503692755,True,True
ETH/USDT,2025-08-08,3941.0,4009.5,win,0.10000000000000019,True,True
ENA/USDT,2025-08-09,0.7,0.7363,win,0.10000000000000012,True,False
UNI/USDT,2025-08-12,11.192,11.601,loss,-0.08349280234462549,True,True
TRX/USDT,2025-08-12,0.351,0.3524,loss,-0.05377412031782072,True,False
BTC/USDT,2025-08-13,123218.0,123306.43,loss,-0.0506812986151655,True,True
ZEC/USDT,2025-08-21,41.2,42.56,loss,-0.08035714285714289,False,True
ETH/USDT,2025-08-22,4788.0,4832.07,loss,-0.058664299151295465,True,True
BNB/USDT,2025-08-22,869.4,900.21,timeout,0.002843780895568751,True,True
SOL/USDT,2025-08-28,209.86,214.43,loss,-0.07024670055495974,True,True
ZEC/USDT,2025-09-06,46.8,47.46,win,0.10000000000000005,True,True
WLD/USDT,2025-09-08,1.141,1.571,win,0.10000000000000016,False,True
ENA/USDT,2025-09-08,0.7746,0.7816,win,0.10000000000000016,True,True
SOL/USDT,2025-09-10,218.0,224.07,win,0.10000000000000005,True,False
BNB/USDT,2025-09-11,900.71,902.77,win,0.10000000000000005,True,False
NEAR/USDT,2025-09-12,2.788,2.792,loss,-0.051361031518624714,True,True
EUR/USDT,2025-09-16,1.1804,1.1866,timeout,-0.011039946064385733,True,False
ZEC/USDT,2025-09-24,55.59,58.73,win,0.1000000000000002,True,True
BTC/USDT,2025-10-01,117900.0,118594.99,loss,-0.05556718711304757,True,True
BNB/USDT,2025-10-02,1083.47,1090.22,win,0.10000000000000014,True,True
TAO/USDT,2025-10-12,372.9,383.4,win,0.10000000000000009,False,True
ZEC/USDT,2025-10-26,298.05,325.24,win,0.10000000000000017,True,True
ENA/USDT,2025-10-26,0.5077,0.5096,loss,-0.053541993720565256,False,False
TAO/USDT,2025-10-31,479.0,481.0,win,0.10000000000000005,True,True
ASTER/USDT,2025-11-02,1.22,1.227,loss,-0.05541972290138554,False,True
NEAR/USDT,2025-11-07,2.419,2.768,win,0.10000000000000006,False,True
UNI/USDT,2025-11-10,6.888,9.347,win,0.10000000000000013,False,True
ASTER/USDT,2025-11-18,1.285,1.381,loss,-0.11603910209992775,False,True
EUR/USDT,2025-12-10,1.1676,1.1695,timeout,0.005557930739632279,True,True
ZEC/USDT,2025-12-27,457.79,516.1,loss,-0.15733288122456887,True,True
ETH/USDT,2026-01-02,3077.39,3125.45,loss,-0.06460813642835438,False,True
BTC/USDT,2026-01-03,90588.23,90628.01,timeout,-0.011340313000362692,False,False
TRX/USDT,2026-01-03,0.2891,0.2956,timeout,0.007780784844384386,False,True
XLM/USDT,2026-01-04,0.2263,0.233,loss,-0.07731759656652373,False,True
XRP/USDT,2026-01-05,2.2868,2.3478,loss,-0.07468268165942578,False,True
BNB/USDT,2026-01-13,923.93,943.73,loss,-0.06993154821824048,False,True
BTC/USDT,2026-01-13,94789.08,95414.0,loss,-0.05622208480935708,False,True
ETH/USDT,2026-01-13,3308.86,3325.82,loss,-0.05484451954705914,False,True
NEAR/USDT,2026-01-13,1.841,1.859,loss,-0.05919849381387854,False,True
SOL/USDT,2026-01-13,143.48,145.51,loss,-0.06325338464710335,False,True
EUR/USDT,2026-01-20,1.1709,1.1741,timeout,0.014053317434630936,False,True
ASTER/USDT,2026-02-12,0.711,0.715,loss,-0.05531468531468543,False,False
NEAR/USDT,2026-02-25,1.102,1.172,loss,-0.10674061433447099,False,True
XPL/USDT,2026-03-03,0.1154,0.1157,loss,-0.052463267070008694,False,True
BNB/USDT,2026-03-04,642.49,657.99,loss,-0.07237875955561636,False,True
BTC/USDT,2026-03-04,70983.0,72666.77,loss,-0.07201255814727987,False,True
TRX/USDT,2026-03-11,0.2912,0.2913,win,0.10000000000000016,False,True
TAO/USDT,2026-03-12,215.6,217.9,win,0.10000000000000009,False,True
BNB/USDT,2026-03-15,666.16,673.77,loss,-0.0607299226739095,False,False
XRP/USDT,2026-03-16,1.4732,1.543,loss,-0.09297472456254045,False,True
ZEC/USDT,2026-03-16,251.42,276.87,loss,-0.13732437606096728,False,True
UNI/USDT,2026-03-16,4.095,4.157,loss,-0.0641688717825356,False,True
NEAR/USDT,2026-03-16,1.455,1.49,loss,-0.07231543624161074,False,True
ETH/USDT,2026-03-16,2199.0,2352.97,loss,-0.11216462598333174,False,True
BTC/USDT,2026-03-16,74050.0,74884.67,loss,-0.060588769370286316,False,True
XLM/USDT,2026-03-16,0.1694,0.176,loss,-0.085625,False,True
SOL/USDT,2026-03-16,94.05,96.2,loss,-0.07123180873180879,False,True
RLUSD/USDT,2026-03-24,1.0003,1.0004,timeout,-0.0005997600959615493,False,True
TRX/USDT,2026-03-29,0.319,0.322,timeout,0.02329192546583853,True,True
XPL/USDT,2026-04-01,0.1029,0.1061,win,0.10000000000000007,False,True
EUR/USDT,2026-04-07,1.1627,1.1687,timeout,0.0029092153675022224,False,True
ZEC/USDT,2026-04-07,290.31,320.78,win,0.1000000000000001,False,True
ETH/USDT,2026-04-07,2199.02,2240.01,win,0.10000000000000007,False,True
BTC/USDT,2026-04-10,72026.09,72962.7,timeout,0.046378080855012355,False,False
TRX/USDT,2026-04-15,0.3246,0.3272,timeout,0.053789731051344755,True,True
BNB/USDT,2026-04-16,624.85,635.77,timeout,0.01882756342702554,False,True
ENA/USDT,2026-04-16,0.1099,0.1136,win,0.10000000000000007,False,True
XRP/USDT,2026-04-16,1.3962,1.453,timeout,-0.019339298004129396,False,True
SOL/USDT,2026-04-16,87.02,89.05,loss,-0.07165637282425603,False,True
ZEC/USDT,2026-05-01,367.18,384.97,win,0.10000000000000003,True,True
TRX/USDT,2026-05-03,0.3366,0.3385,timeout,0.07208271787296891,True,True
BTC/USDT,2026-05-04,79485.66,79861.01,loss,-0.05446503869660554,True,True
NEAR/USDT,2026-05-06,1.433,1.487,win,0.10000000000000003,False,True
SOL/USDT,2026-05-08,90.73,92.01,loss,-0.06321595478752315,False,True
UNI/USDT,2026-05-08,3.582,3.712,win,0.1000000000000001,False,True
BNB/USDT,2026-05-10,654.19,663.55,timeout,0.08317383769120648,False,True
ASTER/USDT,2026-05-10,0.701,0.71,loss,-0.062042253521126814,False,True
RLUSD/USDT,2026-05-18,1.0005,1.0007,timeout,-0.000299790146897139,True,True
ZEC/USDT,2026-05-20,643.0,673.54,loss,-0.09307539270125002,True,True
NEAR/USDT,2026-05-20,1.692,1.703,win,0.10000000000000006,True,True
WLD/USDT,2026-05-23,0.2956,0.2999,win,0.10000000000000006,False,True
XLM/USDT,2026-05-28,0.1739,0.2038,win,0.10000000000000005,False,True
BNB/USDT,2026-05-30,689.98,718.74,loss,-0.08801374627820911,True,True
WLD/USDT,2026-06-01,0.4144,0.4377,loss,-0.10057116746630114,True,True
ENA/USDT,2026-06-03,0.1104,0.112,loss,-0.06357142857142871,False,True
WLD/USDT,2026-06-16,0.6317,0.6751,timeout,-0.024292697378166316,True,True
XPL/USDT,2026-06-17,0.1027,0.1127,timeout,0.0,False,True
